24.7953,88.453,-161.383,-2.13199,1.0383,-1.84224
5.44369,88.4529,-161.383,-2.13208,1.03867,-1.84208
5.44246,62.757,-161.383,-2.13199,1.03936,-1.84221
17.5396,62.7538,-161.383,-2.13125,1.03725,49.87
10.2222,75.2226,-161.385,-2.13206,26.6588,49.8698
19.5559,75.2236,-161.384,-2.13184,-15.2047,54.412
19.5542,75.2231,-161.385,-2.13194,89.8948,54.4117
19.554,75.2232,-161.38,-2.13202,49.7416,106.124
34.7818,75.2236,-161.384,-2.13199,83.8249,106.124
34.7819,75.2236,-161.377,-2.13184,-8.47996,106.123
34.7793,75.2235,-161.384,54.2759,33.3272,106.124
12.5581,75.2234,-161.383,54.2761,33.3265,106.123
12.5568,86.9293,-161.382,54.276,33.3273,106.124
12.5536,86.9293,-161.389,54.2762,82.0293,161.905
12.5553,86.9291,-161.382,54.2762,87.9854,161.906
12.5563,86.9292,-161.383,54.2756,52.0777,260.19
30.8813,86.9292,-161.383,54.2765,69.1475,297.413
30.8812,86.9293,-161.381,54.2762,10.1855,340.845
30.8814,69.4001,-161.382,54.2758,10.1821,302.587
30.8814,74.0861,-161.384,-20.944,57.1787,302.587
37.8802,94.9667,-161.382,-20.944,57.1789,310.867
37.8803,94.9681,-161.38,-20.9443,13.6058,310.867
-4.51675,94.9669,-161.383,-20.9442,13.6067,310.866
-4.51895,94.9669,-161.381,-20.944,-13.0388,310.866
4.53707,94.967,-161.385,-20.944,-1.09909,339.81
17.1936,71.7745,-161.382,-20.9461,-1.09542,337.74
17.1986,85.3543,-161.383,-20.9442,-1.097,393.597
36.3326,85.3527,-161.384,-20.9441,93.7979,393.597
45.7448,85.3529,-161.383,-20.944,93.7982,393.597
12.0229,85.3534,-161.383,-20.944,93.7985,412.191
19.7422,85.3535,-161.382,-20.9447,93.7981,493.916
19.7421,94.9646,-161.383,-20.9441,93.7985,471.181
19.7419,94.9971,-145.553,-20.9441,93.7987,518.753
19.7416,94.9965,-145.549,-20.9443,3.2896,518.753
53.1082,94.9965,-145.552,-20.944,3.28958,611.69
53.1079,94.9965,-145.552,-20.9441,87.0449,611.69
35.151,94.9965,-145.552,-11.5669,87.0448,611.69
7.11364,94.9965,-145.552,-11.5668,87.0447,611.69
33.9277,74.9206,-173.229,-11.5664,87.0445,611.69
21.0609,74.9206,-173.228,-11.5662,87.0453,686.17
34.8407,74.9205,-173.228,-11.5664,87.0451,686.17
16.7338,74.9202,-173.229,-11.5666,80.2333,686.17
